Sport,Discipline,Greece.per,France.per,United States.per,United Kingdom.per,Sweden.per,Belgium.per,France.1.per,Netherlands.per,United States.1.per,Germany.per,United Kingdom.1.per,Finland.per,Australia.per,Italy.per,Japan.per,Mexico.per,West Germany.per,Canada.per,Soviet Union.per,United States.2.per,South Korea.per,Spain.per,United States.3.per,Australia.1.per,Greece.1.per,China.per,United Kingdom.2.per,Brazil.per,Japan.1.per,France.2.per
Aquatics,Artistic Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009049774,0.008438819,0.007782101,0.003690037,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Aquatics,Diving,0,0,0.021052632,0.018181818,0.039215686,0.032051282,0.03968254,0.036697248,0.034188034,0.031007752,0.029411765,0.026845638,0.026490066,0.026666667,0.024539877,0.023255814,0.020512821,0.02020202,0.019704433,0.018099548,0.016877637,0.015564202,0.014760148,0.026666667,0.026578073,0.026490066,0.026490066,0.026143791,0.02359882,0.024316109
Aquatics,Marathon Swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Aquatics,Swimming,0.093023256,0.072164948,0.094736842,0.054545455,0.088235294,0.064102564,0.087301587,0.100917431,0.094017094,0.085271318,0.080882353,0.073825503,0.086092715,0.1,0.110429448,0.168604651,0.148717949,0.131313131,0.128078818,0.131221719,0.130801688,0.120622568,0.118081181,0.106666667,0.106312292,0.105960265,0.105960265,0.104575163,0.103244838,0.106382979
Aquatics,Water Polo,0,0.010309278,0.010526316,0.009090909,0.009803922,0.006410256,0.007936508,0.009174312,0.008547009,0.007751938,0.007352941,0.006711409,0.006622517,0.006666667,0.006134969,0.005813953,0.005128205,0.005050505,0.004926108,0.004524887,0.004219409,0.003891051,0.003690037,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Archery,Archery,0,0.072164948,0.063157895,0.027272727,0,0.064102564,0,0,0,0,0,0,0,0,0,0,0.01025641,0.01010101,0.009852217,0.009049774,0.016877637,0.015564202,0.014760148,0.013333333,0.013289037,0.013245033,0.013245033,0.013071895,0.014749263,0.015197568
Athletics,Athletics,0.279069767,0.237113402,0.263157895,0.236363636,0.294117647,0.185897436,0.214285714,0.247706422,0.247863248,0.224806202,0.242647059,0.22147651,0.218543046,0.226666667,0.220858896,0.209302326,0.194871795,0.186868687,0.187192118,0.185520362,0.17721519,0.167315175,0.162361624,0.153333333,0.15282392,0.155629139,0.155629139,0.153594771,0.14159292,0.145896657
Badminton,Badminton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015564202,0.018450185,0.016666667,0.016611296,0.016556291,0.016556291,0.016339869,0.014749263,0.015197568
Baseball and Softball,Baseball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003891051,0.003690037,0.003333333,0.003322259,0.003311258,0,0,0.002949853,0
Baseball and Softball,Softball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003690037,0.003333333,0.003322259,0.003311258,0,0,0.002949853,0
Basketball,3x3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899705,0.006079027
Basketball,Basketball,0,0,0,0,0,0,0,0,0,0.007751938,0.007352941,0.006711409,0.006622517,0.006666667,0.006134969,0.005813953,0.005128205,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Basque Pelota,Basque Pelota,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxing,Boxing,0,0,0.073684211,0.045454545,0,0.051282051,0.063492063,0.073394495,0.068376068,0.062015504,0.058823529,0.067114094,0.066225166,0.066666667,0.061349693,0.063953488,0.056410256,0.055555556,0.054187192,0.054298643,0.050632911,0.046692607,0.044280443,0.04,0.03654485,0.036423841,0.043046358,0.04248366,0.038348083,0.039513678
Breaking,Breaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006079027
Canoeing,Sprint,0,0,0,0,0,0,0,0,0,0.069767442,0.066176471,0.060402685,0.059602649,0.046666667,0.042944785,0.040697674,0.035897436,0.055555556,0.054187192,0.054298643,0.050632911,0.046692607,0.044280443,0.04,0.03986711,0.039735099,0.039735099,0.039215686,0.03539823,0.030395137
Canoeing,Slalom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020512821,0,0,0,0,0.015564202,0.014760148,0.013333333,0.013289037,0.013245033,0.013245033,0.013071895,0.01179941,0.018237082
Cricket,Cricket,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croquet,Croquet,0,0.030927835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycling,BMX Freestyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899705,0.006079027
Cycling,BMX Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Cycling,Mountain Bike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Cycling,Road,0.023255814,0,0,0,0.019607843,0.012820513,0.015873016,0.018348624,0.017094017,0.015503876,0.014705882,0.013422819,0.013245033,0.013333333,0.012269939,0.011627907,0.01025641,0.01010101,0.009852217,0.013574661,0.012658228,0.011673152,0.014760148,0.013333333,0.013289037,0.013245033,0.013245033,0.013071895,0.01179941,0.012158055
Cycling,Track,0.11627907,0.030927835,0.073684211,0.063636364,0,0.025641026,0.031746032,0.036697248,0.034188034,0.031007752,0.029411765,0.026845638,0.026490066,0.026666667,0.030674847,0.029069767,0.025641026,0.02020202,0.019704433,0.022624434,0.025316456,0.027237354,0.029520295,0.04,0.03986711,0.033112583,0.033112583,0.032679739,0.03539823,0.036474164
Equestrian,Dressage,0,0,0,0,0.009803922,0.006410256,0.007936508,0.018348624,0.017094017,0.015503876,0.014705882,0.013422819,0.013245033,0.006666667,0.012269939,0.011627907,0.01025641,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Equestrian,Eventing,0,0,0,0,0.019607843,0.012820513,0.015873016,0.018348624,0.017094017,0.015503876,0.014705882,0.013422819,0.013245033,0.013333333,0.012269939,0.011627907,0.01025641,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Equestrian,Jumping,0,0.030927835,0,0,0.019607843,0.012820513,0.015873016,0.018348624,0.017094017,0.015503876,0.014705882,0.013422819,0.013245033,0.013333333,0.012269939,0.011627907,0.01025641,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Equestrian,Vaulting,0,0,0,0,0,0.012820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equestrian,Driving,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fencing,Fencing,0.069767442,0.072164948,0.052631579,0.036363636,0.049019608,0.038461538,0.055555556,0.064220183,0.05982906,0.054263566,0.051470588,0.046979866,0.046357616,0.053333333,0.049079755,0.046511628,0.041025641,0.04040404,0.039408867,0.036199095,0.033755274,0.031128405,0.036900369,0.033333333,0.033222591,0.033112583,0.033112583,0.032679739,0.03539823,0.036474164
Field hockey,Field hockey,0,0,0,0.009090909,0,0.006410256,0,0.009174312,0.008547009,0.007751938,0.007352941,0.006711409,0.006622517,0.006666667,0.006134969,0.005813953,0.005128205,0.005050505,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Flag football,Flag football,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Football,Football,0,0.010309278,0.010526316,0.009090909,0.009803922,0.006410256,0.007936508,0.009174312,0,0.007751938,0.007352941,0.006711409,0.006622517,0.006666667,0.006134969,0.005813953,0.005128205,0.005050505,0.004926108,0.004524887,0.004219409,0.003891051,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Golf,Golf,0,0.020618557,0.021052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.005899705,0.006079027
Gymnastics,Artistic,0.186046512,0.010309278,0.115789474,0.018181818,0.039215686,0.025641026,0.071428571,0.073394495,0.094017094,0.069767442,0.066176471,0.100671141,0.099337748,0.093333333,0.085889571,0.081395349,0.071794872,0.070707071,0.068965517,0.063348416,0.05907173,0.054474708,0.051660517,0.046666667,0.046511628,0.046357616,0.046357616,0.045751634,0.041297935,0.042553191
Gymnastics,Rhythmic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004524887,0.004219409,0.003891051,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Gymnastics,Trampoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Handball,Indoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005128205,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Handball,Field,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeu de Paume,Jeu de Paume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Judo,Judo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024539877,0,0.030769231,0.03030303,0.039408867,0.036199095,0.029535865,0.054474708,0.051660517,0.046666667,0.046511628,0.046357616,0.046357616,0.045751634,0.044247788,0.045592705
Karate,Karate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02359882,0
Lacrosse,Sixes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacrosse,Field,0,0,0.010526316,0.009090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modern Pentathlon,,0,0,0,0,0.009803922,0.006410256,0.007936508,0.009174312,0.008547009,0.007751938,0.007352941,0.013422819,0.013245033,0.013333333,0.012269939,0.011627907,0.01025641,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.003690037,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Polo,Polo,0,0.010309278,0,0.009090909,0,0.006410256,0.007936508,0,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rackets,Rackets,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roque,Roque,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rowing,Coastal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowing,Rowing,0,0.051546392,0.052631579,0.036363636,0.039215686,0.032051282,0.055555556,0.064220183,0.05982906,0.054263566,0.051470588,0.046979866,0.046357616,0.046666667,0.042944785,0.040697674,0.035897436,0.070707071,0.068965517,0.063348416,0.05907173,0.054474708,0.051660517,0.046666667,0.046511628,0.046357616,0.046357616,0.045751634,0.041297935,0.042553191
Rugby,Sevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948,0.005899705,0.006079027
Rugby,Union,0,0.010309278,0,0.009090909,0,0.006410256,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sailing,Sailing,0,0.134020619,0,0.036363636,0.039215686,0.08974359,0.023809524,0.027522936,0.034188034,0.031007752,0.036764706,0.033557047,0.033112583,0.033333333,0.030674847,0.029069767,0.030769231,0.03030303,0.02955665,0.031674208,0.033755274,0.038910506,0.036900369,0.036666667,0.03654485,0.036423841,0.033112583,0.032679739,0.029498525,0.030395137
Shooting,Shooting,0.11627907,0.082474227,0,0.136363636,0.176470588,0.134615385,0.079365079,0,0.017094017,0.023255814,0.029411765,0.046979866,0.046357616,0.04,0.036809816,0.040697674,0.041025641,0.035353535,0.034482759,0.049773756,0.054852321,0.050583658,0.055350554,0.056666667,0.056478405,0.049668874,0.049668874,0.049019608,0.044247788,0.045592705
Skateboarding,Skateboarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01179941,0.012158055
Sport Climbing,Sport Climbing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899705,0.012158055
Squash,Squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surfing,Surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899705,0.006079027
Table Tennis,Table Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016877637,0.015564202,0.014760148,0.013333333,0.013289037,0.013245033,0.013245033,0.013071895,0.014749263,0.015197568
Taekwondo,Taekwondo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0.026578073,0.026490066,0.026490066,0.026143791,0.02359882,0.024316109
Tennis,Tennis,0.046511628,0.041237113,0.021052632,0.054545455,0.078431373,0.032051282,0.03968254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016877637,0.015564202,0.014760148,0.013333333,0.013289037,0.013245033,0.016556291,0.016339869,0.014749263,0.015197568
Triathlon,Triathlon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.008849558,0.009118541
Tug of War,Tug of War,0,0.010309278,0.010526316,0.009090909,0.009803922,0.006410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volleyball,Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Volleyball,Indoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012269939,0.011627907,0.01025641,0.01010101,0.009852217,0.009049774,0.008438819,0.007782101,0.007380074,0.006666667,0.006644518,0.006622517,0.006622517,0.006535948,0.005899705,0.006079027
Water Motorsports,,0,0,0,0.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weightlifting,Weightlifting,0.046511628,0.020618557,0.021052632,0,0,0.032051282,0.03968254,0.04587156,0.042735043,0.03875969,0.044117647,0.046979866,0.046357616,0.046666667,0.042944785,0.040697674,0.046153846,0.045454545,0.049261084,0.045248869,0.042194093,0.038910506,0.036900369,0.05,0.049833887,0.049668874,0.049668874,0.049019608,0.041297935,0.030395137
Wrestling,Freestyle,0,0,0.073684211,0.045454545,0,0.032051282,0.055555556,0.064220183,0.05982906,0.054263566,0.058823529,0.053691275,0.052980132,0.053333333,0.049079755,0.046511628,0.051282051,0.050505051,0.049261084,0.045248869,0.042194093,0.038910506,0.036900369,0.026666667,0.03654485,0.036423841,0.036423841,0.039215686,0.03539823,0.036474164
Wrestling,Greco-Roman,0.023255814,0,0,0.036363636,0.049019608,0.032051282,0.047619048,0.055045872,0.05982906,0.054263566,0.058823529,0.053691275,0.052980132,0.053333333,0.049079755,0.046511628,0.051282051,0.050505051,0.049261084,0.045248869,0.042194093,0.038910506,0.036900369,0.026666667,0.023255814,0.023178808,0.023178808,0.019607843,0.017699115,0.018237082
Skating,Figure,0,0,0,0.036363636,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice Hockey,Ice Hockey,0,0,0,0,0,0.006410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total events,Total events,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
